user_name,quality_grade,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
Analise Fussell,research,Beach Sheoak,Casuarina equisetifolia,Beach Sheoak,Plantae,62888
Analise Fussell,research,Florida Boat-tailed Grackle,Quiscalus major westoni,Florida Boat-tailed Grackle,Aves,702341
Analise Fussell,research,Moses-in-the-cradle,Tradescantia spathacea,Moses-in-the-cradle,Plantae,169878
Analise Fussell,needs_id,"",Angiospermae,flowering plants,Plantae,47125
Analise Fussell,needs_id,Sidas,Sida,Sidas,Plantae,54996
Analise Fussell,needs_id,flowering plants,Angiospermae,flowering plants,Plantae,47125
Analise Fussell,needs_id,umbrella trees,Heptapleurum,umbrella trees,Plantae,1238857
Analise Fussell,research,White beggarticks,Bidens alba,White beggarticks,Plantae,1095846
Analise Fussell,research,inchplant,Tradescantia zebrina,inchplant,Plantae,169883
Analise Fussell,research,Virginia pepperweed,Lepidium virginicum,Virginia pepperweed,Plantae,77676
Analise Fussell,research,Brazilian pepper,Schinus terebinthifolia,Brazilian pepper,Plantae,130872
Analise Fussell,research,common ragweed,Ambrosia artemisiifolia,common ragweed,Plantae,53587
Analise Fussell,needs_id,"",Angiospermae,flowering plants,Plantae,47125
Analise Fussell,needs_id,"",Angiospermae,flowering plants,Plantae,47125
Analise Fussell,needs_id,"",Nephrolepis,sword ferns,Plantae,48234
Analise Fussell,needs_id,"",Diacrodon compressus,,Plantae,1305809
Analise Fussell,research,Needham's Skimmer,Libellula needhami,Needham's Skimmer,Insecta,68911
Analise Fussell,research,Golden Pothos,Epipremnum aureum,Golden Pothos,Plantae,69223
Analise Fussell,research,oceanblue morning glory,Ipomoea indica,oceanblue morning glory,Plantae,77496
Analise Fussell,needs_id,"",Plantae,plants,Plantae,47126
Analise Fussell,research,Asian Lady Beetle,Harmonia axyridis,Asian Lady Beetle,Insecta,48484
Analise Fussell,needs_id,"",Plantae,plants,Plantae,47126
Analise Fussell,research,Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017
Analise Fussell,needs_id,"",Plantae,plants,Plantae,47126
