user_name,quality_grade,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
Brittany Mason,research,Northern Curly-tailed Lizard,Leiocephalus carinatus,Northern Curly-tailed Lizard,Reptilia,39280
Brittany Mason,needs_id,Common Crane Flies,Tipula,Common Crane Flies,Insecta,60393
Brittany Mason,needs_id,Explicit Arches,Lacinipolia explicata,Explicit Arches,Insecta,321467
Brittany Mason,needs_id,Fissicrambus,Fissicrambus,,Insecta,176450
Brittany Mason,research,white clover,Trifolium repens,white clover,Plantae,55745
Brittany Mason,research,mock strawberry,Potentilla indica,mock strawberry,Plantae,243824
Brittany Mason,research,Field madder,Sherardia arvensis,Field madder,Plantae,47691
Brittany Mason,needs_id,honeysuckles,Lonicera,honeysuckles,Plantae,51874
Brittany Mason,needs_id,Jelly Tree Ear,Auricularia americana,Jelly Tree Ear,Fungi,356394
Brittany Mason,research,Fine-backed Red Paper Wasp,Polistes carolina,Fine-backed Red Paper Wasp,Insecta,121792
Brittany Mason,needs_id,Virginia creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278
Brittany Mason,needs_id,fleabanes and horseweeds,Erigeron,fleabanes and horseweeds,Plantae,50879
Brittany Mason,needs_id,Harvestmen,Sclerosomatidae,Sclerosomatid Harvestmen,Arachnida,57325
Brittany Mason,needs_id,pleated inkcap,Parasola plicatilis,pleated inkcap,Fungi,63583
Brittany Mason,needs_id,scaly shield,Pluteus petasatus,scaly shield,Fungi,347897
Brittany Mason,needs_id,frost grape,Vitis vulpina,frost grape,Plantae,126645
Brittany Mason,needs_id,Milk-white Toothed Polypore,Irpex lacteus,Milk-white Toothed Polypore,Fungi,130910
Brittany Mason,needs_id,Appalachian Mimic Millipedes,Brachoria,Appalachian Mimic Millipedes,Animalia,171260
Brittany Mason,needs_id,Lesser hop trefoil,Trifolium dubium,Lesser hop trefoil,Plantae,53313
Brittany Mason,needs_id,common dandelion,Taraxacum officinale,common dandelion,Plantae,47602
Brittany Mason,needs_id,Common Crane Flies,Tipula,Common Crane Flies,Insecta,60393
Brittany Mason,research,Boat-tailed Grackle,Quiscalus major,Boat-tailed Grackle,Aves,9601
Brittany Mason,research,Mexican Primrose-willow,Ludwigia octovalvis,Mexican Primrose-willow,Plantae,164861
Brittany Mason,research,lanceleaf arrowhead,Sagittaria lancifolia,lanceleaf arrowhead,Plantae,69813
Brittany Mason,research,Ceraunus Blue,Hemiargus ceraunus,Ceraunus Blue,Insecta,69940
Brittany Mason,research,Giant Ramshorn Snail,Marisa cornuarietis,Giant Ramshorn Snail,Mollusca,150778
Brittany Mason,research,Barred Yellow,Eurema daira,Barred Yellow,Insecta,67324
Brittany Mason,research,blue mistflower,Conoclinium coelestinum,blue mistflower,Plantae,119095
Brittany Mason,research,White Peacock,Anartia jatrophae,White Peacock,Insecta,49761
Brittany Mason,research,pigeonberry,Rivina humilis,pigeonberry,Plantae,133291
Brittany Mason,research,Brown Basilisk,Basiliscus vittatus,Brown Basilisk,Reptilia,33118
Brittany Mason,needs_id,Scrubsnails,Praticolella,Scrubsnails,Mollusca,171839
Brittany Mason,research,White Ibis,Eudocimus albus,White Ibis,Aves,3751
Brittany Mason,research,Northern Mockingbird,Mimus polyglottos,Northern Mockingbird,Aves,14886
Brittany Mason,research,Knight Anole,Anolis equestris,Knight Anole,Reptilia,36391
Brittany Mason,research,Red-bellied Woodpecker,Melanerpes carolinus,Red-bellied Woodpecker,Aves,18205
Brittany Mason,research,Purple Gallinule,Porphyrio martinica,Purple Gallinule,Aves,519
Brittany Mason,research,Mottled Duck,Anas fulvigula,Mottled Duck,Aves,6948
Brittany Mason,research,Common Gallinule,Gallinula galeata,Common Gallinule,Aves,144479
Brittany Mason,research,Gray-headed Swamphen,Porphyrio poliocephalus,Gray-headed Swamphen,Aves,474332
Brittany Mason,research,Four-spotted Pennant,Brachymesia gravida,Four-spotted Pennant,Insecta,68230
Brittany Mason,research,turkey tangle frogfruit,Phyla nodiflora,turkey tangle frogfruit,Plantae,59040
Brittany Mason,research,Downy Woodpecker,Dryobates pubescens,Downy Woodpecker,Aves,792988
Brittany Mason,needs_id,White Miller Caddisflies,Nectopsyche,White Miller Caddisflies,Insecta,176822
Brittany Mason,needs_id,Large-striped Grass-veneer,Crambus quinquareatus,Large-striped Grass-veneer,Insecta,324608
Brittany Mason,research,Blue Jay,Cyanocitta cristata,Blue Jay,Aves,8229
Brittany Mason,research,Scarlet Skimmer,Crocothemis servilia,Scarlet Skimmer,Insecta,52055
Brittany Mason,research,Four-spotted Pennant,Brachymesia gravida,Four-spotted Pennant,Insecta,68230
Brittany Mason,research,Black Spiny-tailed Iguana,Ctenosaura similis,Black Spiny-tailed Iguana,Reptilia,35303
Brittany Mason,research,pickerelweed,Pontederia cordata,pickerelweed,Plantae,52599
Brittany Mason,needs_id,buttercups,Ranunculus,buttercups,Plantae,48230
Brittany Mason,research,white clover,Trifolium repens,white clover,Plantae,55745
Brittany Mason,research,Northern Mockingbird,Mimus polyglottos,Northern Mockingbird,Aves,14886
Brittany Mason,research,American Robin,Turdus migratorius,American Robin,Aves,12727
Brittany Mason,research,Red-winged Blackbird,Agelaius phoeniceus,Red-winged Blackbird,Aves,9744
Brittany Mason,research,Blue Jay,Cyanocitta cristata,Blue Jay,Aves,8229
