user_name,quality_grade,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
Corey Callaghan,research,Beach Sheoak,Casuarina equisetifolia,Beach Sheoak,Plantae,62888
Corey Callaghan,research,graybark grape,Vitis cinerea,graybark grape,Plantae,130905
Corey Callaghan,research,Nickernut,Guilandina bonduc,Nickernut,Plantae,851888
Corey Callaghan,research,Firebush,Hamelia patens,Firebush,Plantae,126305
Corey Callaghan,needs_id,elephant ear,Xanthosoma robustum,elephant ear,Plantae,284200
Corey Callaghan,needs_id,Sacramento bur,Triumfetta semitriloba,Sacramento bur,Plantae,170045
Corey Callaghan,needs_id,Goosefoot-plant,Syngonium podophyllum,Goosefoot-plant,Plantae,143208
Corey Callaghan,research,resurrection fern,Pleopeltis michauxiana,resurrection fern,Plantae,698726
Corey Callaghan,research,Virginia creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278
Corey Callaghan,research,Possum grape,Cissus verticillata,Possum grape,Plantae,160646
Corey Callaghan,research,Cocoplum,Chrysobalanus icaco,Cocoplum,Plantae,160544
Corey Callaghan,research,Carolina willow,Salix caroliniana,Carolina willow,Plantae,125683
Corey Callaghan,research,dogfennel,Eupatorium capillifolium,dogfennel,Plantae,131154
Corey Callaghan,research,Mourning Dove,Zenaida macroura,Mourning Dove,Aves,3454
Corey Callaghan,research,White-winged Dove,Zenaida asiatica,White-winged Dove,Aves,3460
Corey Callaghan,needs_id,southern sword fern,Nephrolepis exaltata,southern sword fern,Plantae,130866
Corey Callaghan,needs_id,American Rosette Lichen,Physcia americana,American Rosette Lichen,Fungi,228037
Corey Callaghan,research,Virginia creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278
Corey Callaghan,research,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461
Corey Callaghan,research,lilac tasselflower,Emilia sonchifolia,lilac tasselflower,Plantae,121287
Corey Callaghan,research,creeping beggarweed,Desmodium incanum,creeping beggarweed,Plantae,116694
Corey Callaghan,research,White beggarticks,Bidens alba,White beggarticks,Plantae,1095846
Corey Callaghan,needs_id,Citrus Flatid Planthopper,Metcalfa pruinosa,Citrus Flatid Planthopper,Insecta,126209
Corey Callaghan,research,Coontie,Zamia integrifolia,Coontie,Plantae,135560
Corey Callaghan,research,eastern poison ivy,Toxicodendron radicans,eastern poison ivy,Plantae,58732
Corey Callaghan,research,Golden Silk Spider,Trichonephila clavipes,Golden Silk Spider,Arachnida,904336
Corey Callaghan,research,Firebush,Hamelia patens,Firebush,Plantae,126305
Corey Callaghan,research,Green Buttonwood,Conocarpus erectus,Green Buttonwood,Plantae,62850
Corey Callaghan,research,red mangrove,Rhizophora mangle,red mangrove,Plantae,60335
Corey Callaghan,research,Aloe Yucca,Yucca aloifolia,Aloe Yucca,Plantae,133334
Corey Callaghan,research,Virginia creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278
Corey Callaghan,research,Southern Brackenfern,Pteridium caudatum,Southern Brackenfern,Plantae,167537
Corey Callaghan,research,sea grape,Coccoloba uvifera,sea grape,Plantae,127284
Corey Callaghan,research,colicwood,Myrsine cubana,colicwood,Plantae,131599
Corey Callaghan,research,Gumbo Limbo,Bursera simaruba,Gumbo Limbo,Plantae,130734
Corey Callaghan,research,Shiny-leaved Wild Coffee,Psychotria nervosa,Shiny-leaved Wild Coffee,Plantae,51599
Corey Callaghan,research,sea grape,Coccoloba uvifera,sea grape,Plantae,127284
Corey Callaghan,research,Poisonwood,Metopium toxiferum,Poisonwood,Plantae,69975
Corey Callaghan,research,cabbage palmetto,Sabal palmetto,cabbage palmetto,Plantae,123481
Corey Callaghan,research,Green Iguana,Iguana iguana,Green Iguana,Reptilia,35342
Corey Callaghan,research,House Sparrow,Passer domesticus,House Sparrow,Aves,13858
Corey Callaghan,research,White beggarticks,Bidens alba,White beggarticks,Plantae,1095846
Corey Callaghan,needs_id,Misumessus tamiami,Misumessus tamiami,,Arachnida,624864
Corey Callaghan,research,Wine-tinted Oenobotys Moth,Oenobotys vinotinctalis,Wine-tinted Oenobotys Moth,Insecta,226270
Corey Callaghan,research,Mourning Dove,Zenaida macroura,Mourning Dove,Aves,3454
Corey Callaghan,research,Spanish Moth,Xanthopastis regnatrix,Spanish Moth,Insecta,322588
Corey Callaghan,research,Sleepy Morning,Waltheria indica,Sleepy Morning,Plantae,130789
Corey Callaghan,research,Madagascar Periwinkle,Catharanthus roseus,Madagascar Periwinkle,Plantae,62924
Corey Callaghan,needs_id,Earpod Wattle,Acacia auriculiformis,Earpod Wattle,Plantae,52445
Corey Callaghan,needs_id,Beach Sheoak,Casuarina equisetifolia,Beach Sheoak,Plantae,62888
Corey Callaghan,needs_id,Fragrant flatsedge,Cyperus odoratus,Fragrant flatsedge,Plantae,63329
Corey Callaghan,needs_id,Rattleweed,Crotalaria retusa,Rattleweed,Plantae,161148
Corey Callaghan,research,Virginia creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278
Corey Callaghan,research,Silverling,Baccharis glomeruliflora,Silverling,Plantae,159124
Corey Callaghan,research,White beggarticks,Bidens alba,White beggarticks,Plantae,1095846
Corey Callaghan,research,Northern Curly-tailed Lizard,Leiocephalus carinatus,Northern Curly-tailed Lizard,Reptilia,39280
Corey Callaghan,needs_id,Torpedo grass,Panicum repens,Torpedo grass,Plantae,166096
Corey Callaghan,needs_id,Pretty Ruffle,Parmotrema austrosinense,Pretty Ruffle,Fungi,227235
Corey Callaghan,research,Wood Stork,Mycteria americana,Wood Stork,Aves,4742
Corey Callaghan,research,Virginia creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278
Corey Callaghan,needs_id,Florida Strangler Fig,Ficus aurea,Florida Strangler Fig,Plantae,120934
Corey Callaghan,needs_id,Syrrhopodon,Syrrhopodon,,Plantae,155944
Corey Callaghan,research,Shiny-leaved Wild Coffee,Psychotria nervosa,Shiny-leaved Wild Coffee,Plantae,51599
Corey Callaghan,research,Old Gray Ruffles,Parmotrema tinctorum,Old Gray Ruffles,Fungi,227259
Corey Callaghan,research,Christmas lichen,Herpothallon rubrocinctum,Christmas lichen,Fungi,464189
Corey Callaghan,needs_id,Fabronia,Fabronia,,Plantae,157283
Corey Callaghan,research,baldcypress,Taxodium distichum,baldcypress,Plantae,49666
Corey Callaghan,needs_id,Lejeunea,Lejeunea,,Plantae,157692
Corey Callaghan,research,red maple,Acer rubrum,red maple,Plantae,48098
Corey Callaghan,research,Spanish moss,Tillandsia usneoides,Spanish moss,Plantae,49569
Corey Callaghan,needs_id,Pond Apple,Annona glabra,Pond Apple,Plantae,69972
Corey Callaghan,research,Giant leather fern,Acrostichum danaeifolium,Giant leather fern,Plantae,130818
Corey Callaghan,research,red maple,Acer rubrum,red maple,Plantae,48098
Corey Callaghan,research,Bishop wood,Bischofia javanica,Bishop wood,Plantae,156333
Corey Callaghan,research,Siam weed,Chromolaena odorata,Siam weed,Plantae,199400
Corey Callaghan,needs_id,Pretty Ruffle,Parmotrema austrosinense,Pretty Ruffle,Fungi,227235
Corey Callaghan,research,colicwood,Myrsine cubana,colicwood,Plantae,131599
Corey Callaghan,research,resurrection fern,Pleopeltis michauxiana,resurrection fern,Plantae,698726
Corey Callaghan,research,Shiny-leaved Wild Coffee,Psychotria nervosa,Shiny-leaved Wild Coffee,Plantae,51599
Corey Callaghan,research,Jamaican feverplant,Tribulus cistoides,Jamaican feverplant,Plantae,169915
Corey Callaghan,research,Earleaf Greenbrier,Smilax auriculata,Earleaf Greenbrier,Plantae,127910
Corey Callaghan,needs_id,goldenrods,Solidago,goldenrods,Plantae,48678
Corey Callaghan,research,cardinal airplant,Tillandsia fasciculata,cardinal airplant,Plantae,68593
Corey Callaghan,research,saw palmetto,Serenoa repens,saw palmetto,Plantae,83102
