user_name,quality_grade,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
Mario Zuliani,research,Green Iguana,Iguana iguana,Green Iguana,Reptilia,35342
Mario Zuliani,research,Northern Mockingbird,Mimus polyglottos,Northern Mockingbird,Aves,14886
Mario Zuliani,research,Great Southern White,Ascia monuste,Great Southern White,Insecta,51536
Mario Zuliani,needs_id,"",Corvus ossifragus,Fish Crow,Aves,8001
Mario Zuliani,research,Madagascar Periwinkle,Catharanthus roseus,Madagascar Periwinkle,Plantae,62924
Mario Zuliani,research,Shiny-leaved Wild Coffee,Psychotria nervosa,Shiny-leaved Wild Coffee,Plantae,51599
Mario Zuliani,research,Silver Buttonwood,Conocarpus erectus sericeus,Silver Buttonwood,Plantae,201689
Mario Zuliani,needs_id,"",Morus rubra,red mulberry,Plantae,54801
Mario Zuliani,research,Paradise Tree,Simarouba glauca,Paradise Tree,Plantae,884600
Mario Zuliani,research,Virginia creeper,Parthenocissus quinquefolia,Virginia creeper,Plantae,50278
Mario Zuliani,research,painted leaf,Euphorbia cyathophora,painted leaf,Plantae,77109
Mario Zuliani,research,common ragweed,Ambrosia artemisiifolia,common ragweed,Plantae,53587
Mario Zuliani,research,American burnweed,Erechtites hieraciifolius,American burnweed,Plantae,130888
Mario Zuliani,research,Florida Strangler Fig,Ficus aurea,Florida Strangler Fig,Plantae,120934
Mario Zuliani,needs_id,"",Nephrolepis cordifolia,Fishbone Fern,Plantae,48233
Mario Zuliani,research,Northern Mockingbird,Mimus polyglottos,Northern Mockingbird,Aves,14886
Mario Zuliani,research,Blue Jay,Cyanocitta cristata,Blue Jay,Aves,8229
Mario Zuliani,research,golden polypody,Phlebodium aureum,golden polypody,Plantae,127908
Mario Zuliani,research,cucumberleaf sunflower,Helianthus debilis,cucumberleaf sunflower,Plantae,126565
Mario Zuliani,research,North American Racer,Coluber constrictor,North American Racer,Reptilia,27137
Mario Zuliani,research,sea ox-eye,Borrichia frutescens,sea ox-eye,Plantae,127270
Mario Zuliani,research,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
Mario Zuliani,research,Florida swampprivet,Forestiera segregata,Florida swampprivet,Plantae,126344
Mario Zuliani,research,Brown Anole,Anolis sagrei,Brown Anole,Reptilia,116461
Mario Zuliani,research,turkey tangle frogfruit,Phyla nodiflora,turkey tangle frogfruit,Plantae,59040
Mario Zuliani,research,trailing daisy,Sphagneticola trilobata,trailing daisy,Plantae,246102
Mario Zuliani,research,Common Yellowthroat,Geothlypis trichas,Common Yellowthroat,Aves,9721
Mario Zuliani,research,Corn Snake,Pantherophis guttatus,Corn Snake,Reptilia,73887
Mario Zuliani,research,St. Andrew's Cotton Stainer,Dysdercus andreae,St. Andrew's Cotton Stainer,Insecta,338717
Mario Zuliani,needs_id,"",Cordia sebestena,Scarlet Cordia,Plantae,160878
Mario Zuliani,research,Loggerhead Shrike,Lanius ludovicianus,Loggerhead Shrike,Aves,12024
Mario Zuliani,research,Northern Mockingbird,Mimus polyglottos,Northern Mockingbird,Aves,14886
Mario Zuliani,research,White beggarticks,Bidens alba,White beggarticks,Plantae,1095846
Mario Zuliani,research,Dainty Sulphur,Nathalis iole,Dainty Sulphur,Insecta,51773
Mario Zuliani,research,Gulf Fritillary,Dione vanillae,Gulf Fritillary,Insecta,49150
Mario Zuliani,research,Loggerhead Shrike,Lanius ludovicianus,Loggerhead Shrike,Aves,12024
Mario Zuliani,research,oakleaf fleabane,Erigeron quercifolius,oakleaf fleabane,Plantae,131153
Mario Zuliani,research,Eastern Amberwing,Perithemis tenera,Eastern Amberwing,Insecta,59776
Mario Zuliani,research,Dainty Sulphur,Nathalis iole,Dainty Sulphur,Insecta,51773
Mario Zuliani,research,White Ibis,Eudocimus albus,White Ibis,Aves,3751
Mario Zuliani,research,Barred Yellow,Eurema daira,Barred Yellow,Insecta,67324
Mario Zuliani,research,Southern Green-striped Grasshopper,Chortophaga australior,Southern Green-striped Grasshopper,Insecta,130353
Mario Zuliani,needs_id,"",Crinum americanum,Southern Swamp Crinum,Plantae,128713
Mario Zuliani,needs_id,"",Ipomoea indica,oceanblue morning glory,Plantae,77496
Mario Zuliani,needs_id,"",Portulaca amilis,Paraguayan Purslane,Plantae,127899
